US$	Dolari americani
US$	dolari americani
US$	Dolari americani
US$	Dolari americani
US$	dolari americani
US$	Dolari americani
CAD$	dolari canadieni
CAD$	Dolari canadieni
CAD$	Dolari canadieni
AR$	Pesos argentinieni
AR$	pesos argentinieni
AR$	Pesos argentinieni
BRL	Reali brazilieni
BRL	reali brazilieni
BRL	Reali brazilieni
CHF	Franci elvețieni
CHF	franci elvețieni
CHF	Franci elvețieni
CLP	Pesos chilieni
CLP	pesos chilieni
CLP	Pesos chilieni
CNY	Yuan chinezi
CNY	yuan chinezi
CNY	Yuan chinezi
COP	Pesos columbieni
COP	pesos columbieni
COP	Pesos columbieni
CRC	Coloni costaricani
CRC	coloni costaricani
CRC	Coloni costaricani
CUP	Pesos cubanezi
CUP	pesos cubanezi
CUP	Pesos cubanezi
RD$	Pesos dominicani
RD$	pesos dominicani
RD$	Pesos dominicani
GBP	Lire sterline
GBP	lire sterline
GBP	Lire sterline
HKD	Dolari din Hong Kong
HKD	dolari din Hong Kong
HKD	Dolari din Hong Kong
INR	Rupii indiene
INR	rupii indiene
INR	Rupii indiene
Mex$	Pesos mexicani
Mex$	pesos mexicani
Mex$	Pesos mexicani
SVC	Coloni salvadorieni
SVC	coloni salvadorieni
SVC	Coloni salvadorieni
UYU	Pesos uruguayeni
UYU	pesos uruguayeni
UYU	Pesos uruguayeni
VES	Bolivari venezueleni
VES	bolivari venezueleni
VES	Bolivari venezueleni
BOP	Pesos bolivieni
BOP	pesos bolivieni
BOP	Pesos bolivieni
CLE	Escudo chilieni
CLE	escudo chilieni
CLE	Escudo chilieni
ECS	Sucres ecuadorieni
ECS	sucres ecuadorieni
ECS	Sucres ecuadorieni
PEH	Soles de aur
PEH	soles de aur
PEH	Soles de aur
VEB	Bolivari venezueleni
VEB	bolivari venezueleni
VEB	Bolivari venezueleni
VEF	Bolivari venezueleni
VEF	bolivari venezueleni
VEF	Bolivari venezueleni
