US$	dolar Estadounid
US$	Dolar Estadounid
US$	Dolar estadounid
US$	dolar Estadounid
US$	dolar American
US$	Dolar American
US$	Dolar american
CAD$	dolar Canad
CAD$	Dolar canad
CAD$	Dolar Canad
AR$	peso Argentin
AR$	Peso Argentin
AR$	Peso argentin
BRL	real Brazilian
BRL	Real Brazilian
BRL	Real brazilian
CHF	franco Elvețian
CHF	Franco Elvețian
CHF	Franco elvețian
CLP	Peso Chilian
CLP	peso Chilian
CLP	Peso chilian
CNY	Yuan Chinezesc
CNY	yuan Chinezesc
CNY	Yuan chinezesc
COP	Peso Columbian
COP	peso Columbian
COP	Peso columbian
CRC	Colón Costarican
CRC	colón Costarican
CRC	Colón costarican
CUP	Peso Cubanez
CUP	peso Cubanez
CUP	Peso cubanez
RD$	Peso Dominican
RD$	peso Dominican
RD$	Peso dominican
GBP	Libră Sterlin
GBP	libră Sterlin
GBP	Libră sterlin
HKD	Dolar Hong Kong
HKD	dolar Hong Kong
HKD	Dolar hong kong
INR	Rupie Indian
INR	rupie Indian
INR	Rupie indian
Mex$	Peso Mexican
Mex$	peso Mexican
Mex$	Peso mexican
SVC	Colón Salvadorean
SVC	colón Salvadorean
SVC	Colón salvadorean
UYU	Peso Uruguay
UYU	peso Uruguay
UYU	Peso uruguay
VES	Bolívar Suveran
VES	bolívar Suveran
VES	Bolívar suveran
BOP	Peso Bolivian
BOP	peso Bolivian
BOP	Peso bolivian
CLE	Escudo Chilian
CLE	escudo Chilian
CLE	Escudo chilian
ECS	Sucre Ecuatorian
ECS	sucre Ecuatorian
ECS	Sucre ecuatorian
PEH	Sol De Oro
PEH	sol de Oro
PEH	Sol de oro
VEB	Bolívar Venezuelan
VEB	bolívar Venezuelan
VEB	Bolívar venezuelan
VEF	Bolívar Fuerte
VEF	bolívar Fuerte
VEF	Bolívar fuerte
